Postal,Latitude,Longitude,Project,Street,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District
249690,1.3039333193071,103.82938816157801,3 CUSCADEN,CUSCADEN WALK,36.46,96,35,10
278805,1.31585312169371,103.78287202099101,PARKSUITES,HOLLAND GROVE ROAD,34.0,50,17,10
506930,1.37785629605719,103.95708961997299,CASA AL MARE,JALAN LOYANG BESAR,22.45,49,11,17
678155,1.3738359173589798,103.763124764765,BUKIT 828,UPPER BUKIT TIMAH ROAD,52.94,17,9,23
229160,1.3030109404897199,103.838718322482,8 HULLET,HULLET ROAD,79.55,44,35,9
NIL,1.3583316178751799,103.760010714342,MONT BOTANIK RESIDENCE,JALAN REMAJA,11.11,54,6,23
149312,1.2995172080842101,103.802806930224,MARGARET VILLE,MARGARET DRIVE,85.11,188,160,3
119554,1.27685386379361,103.79174217178499,BIJOU,JALAN MAT JAMBOL,65.83,120,79,5
367801,1.3391415935071,103.87227624503001,THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,54.0,50,27,13
398628,1.3120699913603702,103.883562422294,THE OCTET,LORONG 24 GEYLANG,98.21,56,55,14
357658,1.3382315968815,103.869540683996,PARK COLONIAL,WOODLEIGH LANE,72.05,805,580,13
