,Project_x,PercentageSold,NumUnitsLaunchedToDate,NumUnitsSoldToDate,District_x,Street,HighestPricePerSQFT,LowestPricePerSQFT,MediumPricePerSQFT,MarketSegment,SoldInMonth,Postal,Latitude,Longitude,Project_y,District_y,Rent,PricePerSqft
93,THE TAPESTRY,87.43,700,612,18,TAMPINES STREET 86,18.0,18.0,18.0,OCR,30,528591,1.3512844009602298,103.927174717066,Q BAY RESIDENCES,11.0,5000.0,2.63
94,PARK PLACE RESIDENCES AT PLQ,97.9,429,420,14,PAYA LEBAR ROAD,14.0,14.0,14.0,RCR,4,409044,1.33049714674008,103.88840926878099,LE CRESCENDO,23.0,5200.0,2.89
95,PARK PLACE RESIDENCES AT PLQ,97.9,429,420,14,PAYA LEBAR ROAD,14.0,14.0,14.0,RCR,4,409050,1.31573579353368,103.891560467041,LOTUS AT PAYA LEBAR,12.0,2000.0,4.0
96,PARK PLACE RESIDENCES AT PLQ,97.9,429,420,14,PAYA LEBAR ROAD,14.0,14.0,14.0,RCR,4,409042,1.31752143815245,103.89147565473301,PAYA LEBAR RESIDENCES,14.0,3200.0,4.57
97,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425692,1.31336049179577,103.911481522688,HEJI GARDENS,11.0,9250.0,1.68
98,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425767,1.31337005210125,103.914756218153,SUNNY PARC,21.0,2800.0,1.87
99,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425687,1.31266290803797,103.911509004252,THE CRISTALLO,23.0,2400.0,2.0
100,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425645,1.31258903464673,103.908809979121,SENG HUA GARDENS,18.0,2750.0,2.12
101,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425780,1.3123262776796498,103.910392393704,NATURE MANSIONS,23.0,3000.0,2.31
102,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425781,1.31208372170509,103.908643115632,THE AMERY,18.0,2100.0,2.33
103,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425672,1.31262539510929,103.911249147718,SAPPHIRE COURT,15.0,3750.0,2.68
104,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425666,1.31233587446049,103.90995011171199,VERANDA,21.0,2800.0,2.8
105,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425702,1.31293789129593,103.91205074521,PALM GALLERIA,21.0,2900.0,2.9
106,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425790,1.3133602687065902,103.91531116708299,SUNNYVALE RESIDENCES,13.0,2800.0,3.11
107,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425769,1.31353809863099,103.91494439166901,LA VIDA @ 130,15.0,1700.0,3.4
108,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425777,1.31407531151467,103.91519670402701,GOLD PALM MANSIONS,15.0,1800.0,3.6
109,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,NIL,1.31308143682535,103.911770973104,,,,
110,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,NIL,1.31308143682535,103.911770973104,CASTLE LOFT,10.0,2700.0,3.86
111,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425653,1.31228274672901,103.90955975689,COSTA ESTE,10.0,8791.0,4.0
112,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425774,1.31407021454554,103.914849369981,E-SPACE,9.0,2500.0,4.17
113,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425604,1.3119115433548998,103.907721956198,KINGS APARTMENTS,10.0,12160.0,4.19
114,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425710,1.31289479727388,103.912335625355,ESPIRA RESIDENCE,2.0,2900.0,4.83
115,KALEIDO,35.71,14,5,15,LORONG K TELOK KURAU,15.0,15.0,15.0,OCR,0,425711,1.31343809193915,103.91201252096,CUBIK,8.0,3400.0,4.86
116,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,309065,1.3160894142612298,103.83857979718701,MORIMASA GARDENS,23.0,2300.0,2.09
117,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,309115,1.31933889846687,103.84041879007499,GILSTEAD MANSION,15.0,3200.0,2.29
118,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,307460,1.31871823757918,103.839116638344,VILLAS @ GILSTEAD,15.0,2400.0,2.67
119,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,309061,1.31496035037873,103.838459402687,GILSTEAD TWO,10.0,3500.0,2.69
120,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,309082,1.31814186950606,103.83915108571101,GILSTEAD 38,27.0,1900.0,3.17
121,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,309104,1.3185676533009598,103.840268808403,THE ARMADALE,3.0,2800.0,3.5
122,35 GILSTEAD,8.57,35,3,11,GILSTEAD ROAD,11.0,11.0,11.0,CCR,3,NIL,1.31902768351346,103.839939723943,LUXURY APARTMENTS,15.0,1750.0,3.5
