Postal,Latitude,Longitude,Project,Street,District,Rent,PricePerSqft
117621,1.2912341999871,103.76933030729,PALM GREEN,PASIR PANJANG ROAD,23.0,4700.0,1.88
458970,1.3082725776305,103.91900309759501,OCEAN PARK,EAST COAST ROAD,21.0,2650.0,1.89
257525,1.3171555477413,103.80873589379,WOOLLERTON PARK,WOOLLERTON PARK,21.0,2650.0,1.89
467170,1.32140305802815,103.950888897341,KEW PLACE,SALAM WALK,21.0,2650.0,1.89
NIL,1.34460793944103,103.86208004753999,MUSWELL VILLAS,MUSWELL HILL,19.0,2850.0,1.9
257902,1.3179326130993603,103.826490591477,STEVENS LOFT,STEVENS DRIVE,17.0,1900.0,1.9
NIL,1.35912979107478,103.761230866149,,JALAN DERMAWAN,,,
NIL,1.31250640626751,103.782747099024,HOLLAND GROVE,HOLLAND GROVE VIEW,15.0,3800.0,1.9
737892,1.43219083618148,103.79745091653999,LA CASA,WOODLANDS DRIVE 16,15.0,3800.0,1.9
239105,1.2972739121036998,103.83983444463301,BRENTWOOD,LLOYD ROAD,23.0,2100.0,1.91
259792,1.3145169285557101,103.83220686280701,BALMORAL 8,BALMORAL ROAD,21.0,2100.0,1.91
768896,1.4331380849625701,103.84139499636998,NINE RESIDENCES,YISHUN AVENUE 9,21.0,2675.0,1.91
387982,1.31514147457983,103.888042831488,DELIGHT COURT,LORONG 33 GEYLANG,21.0,2100.0,1.91
248209,1.29488382877101,103.828087328414,RV EDGE,SHANGHAI ROAD,21.0,2100.0,1.91
609481,1.34552872941251,103.73364054159599,THE MAYFAIR,JURONG EAST STREET 32,15.0,4200.0,1.91
668805,1.36018944461119,103.76043525847,HILLVIEW ESTATE,JALAN INTAN,14.0,2100.0,1.91
218437,1.31660769082394,103.85332584380699,CITIGATE RESIDENCE,RANGOON ROAD,23.0,2100.0,1.91
398240,1.31225825686548,103.888161768505,CENTRAL MEADOWS,LORONG 34 GEYLANG,11.0,10500.0,1.91
329141,1.3275551556455802,103.848878899043,RAJAH TOWERS,JALAN RAJAH,27.0,2100.0,1.91
278473,1.30812984429904,103.79898078643801,CHIP BEE GARDENS,JALAN HITAM MANIS,23.0,2100.0,1.91
248201,1.2961398605663998,103.827231792499,THE MERCURY,SHANGHAI ROAD,19.0,2100.0,1.91
NIL,1.39710020359876,103.872497067009,,JALAN TARI SERIMPI,,,
NIL,1.32132770207488,103.823071476404,,BUKIT TIMAH ROAD,,,
425244,1.3108763173470102,103.915485073734,EMPRADO SUITES,LORONG N TELOK KURAU,22.0,2500.0,1.92
319771,1.3333500469013502,103.84410286006501,OLEANDER TOWERS,LORONG 1 TOA PAYOH,22.0,2500.0,1.92
259953,1.308759844145,103.829643355814,JUNIPER AT ARDMORE,ARDMORE PARK,22.0,2500.0,1.92
417030,1.3237471561912,103.909135122768,BLISS VILLE,LORONG MELAYU,22.0,2500.0,1.92
308186,1.3233743225635701,103.85038082692499,MEDGE,MINBU ROAD,22.0,2500.0,1.92
518183,1.37617625629393,103.96048844369699,SEASTRAND,PASIR RIS LINK,16.0,2500.0,1.92
NIL,1.3581570171692698,103.82597756625299,WINDSOR PARK ESTATE,JUPITER ROAD,15.0,2300.0,1.92
427028,1.3122485148190801,103.904537964692,EAST COURT,KOON SENG ROAD,12.0,2300.0,1.92
238306,1.2946850517231399,103.84140602426001,VALLEY LODGE,RIVER VALLEY ROAD,18.0,2500.0,1.92
229668,1.3075260301838798,103.836488260685,ELIZABETH HEIGHTS,CAIRNHILL ROAD,14.0,2500.0,1.92
259710,1.3174781289552,103.833282669164,MARTINA MANSIONS,BUKIT TIMAH ROAD,19.0,2300.0,1.92
NIL,1.3025297262923898,103.80597600836398,,SWETTENHAM ROAD,,,
169253,1.2847511453598301,103.829329700844,KAI FOOK MANSION,KIM TIAN ROAD,21.0,2700.0,1.93
579487,1.3759727641838702,103.827871053561,SEMBAWANG HILLS ESTATE,CASUARINA ROAD,21.0,2700.0,1.93
NIL,1.3467331483089098,103.78795342723801,,BUKIT AYER MOLEK,,,
228714,1.3065221286647901,103.84658737181299,THE MKZ,MACKENZIE ROAD,21.0,2700.0,1.93
506851,1.35596896951349,103.966315676876,THE INFLORA,FLORA DRIVE,21.0,2700.0,1.93
307781,1.31424399820093,103.844686729742,SUFFOLK PREMIER,SUFFOLK ROAD,22.0,2700.0,1.93
NIL,1.31278553344195,103.871603296551,,LORONG 1 GEYLANG,,,
249367,1.30055636446196,103.826090657694,KIM LIN PARK,JALAN ARNAP,10.0,5800.0,1.93
298127,1.32709133164713,103.84197857374501,368 THOMSON,THOMSON ROAD,10.0,5800.0,1.93
478936,1.3374052310456201,103.935708276252,AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,16.0,3500.0,1.94
555621,1.35583473160481,103.859145080961,TAI HWAN PARK,TAI HWAN CRESCENT,17.0,1750.0,1.94
098450,1.2452889149106101,103.843545688619,THE COAST AT SENTOSA COVE,OCEAN DRIVE,23.0,2150.0,1.95
669233,1.35327028735118,103.75879674836901,NATURA@HILLVIEW,HILLVIEW TERRACE,21.0,2150.0,1.95
436921,1.29808902455802,103.87104933328399,PEBBLE BAY,TANJONG RHU ROAD,21.0,2150.0,1.95
169661,1.29024259615152,103.841385089725,RIVER PLACE,HAVELOCK ROAD,21.0,2150.0,1.95
NIL,1.31827684089246,103.813892192245,,CLUNY PARK,,,
359967,1.34410602889561,103.86870136799101,E MAISON,BRADDELL ROAD,22.0,2550.0,1.96
NIL,1.3492354470312802,103.845810524012,LAUW & SONS GARDEN,BINCHANG RISE,17.0,2350.0,1.96
669086,1.35985112774226,103.75715713024799,HILLVIEW COURT,JALAN DERMAWAN,9.0,4500.0,1.96
519944,1.37744783471944,103.941602276886,OASIS @ ELIAS,ELIAS ROAD,15.0,2550.0,1.96
268218,1.3184863560016,103.803515059119,KING'S GARDEN,KING'S CLOSE,20.0,6900.0,1.97
807018,1.3868247562770701,103.869112215319,THE GREENWICH,SELETAR ROAD,15.0,2950.0,1.97
423824,1.31335497672777,103.910858221599,THE COTZ,TELOK KURAU ROAD,15.0,2600.0,2.0
298130,1.32836360888923,103.841418362322,CUBE 8,THOMSON ROAD,21.0,2200.0,2.0
249034,1.2941930917953202,103.823247232673,JERVOIS LODGE,JERVOIS ROAD,21.0,2200.0,2.0
259426,1.30987538864488,103.83097892908701,J C DRAYCOTT,DRAYCOTT DRIVE,21.0,2200.0,2.0
NIL,1.31315255590486,103.877522007799,,LORONG 13 GEYLANG,,,
439829,1.29890153862648,103.887151599437,ARTHUR MANSIONS,ARTHUR ROAD,21.0,2200.0,2.0
249570,1.29850482255038,103.82556622754299,BEVERLY HILL,GRANGE ROAD,21.0,2200.0,2.0
437885,1.2966818551583899,103.889100113074,THE ATRIA AT MEYER,MEYER ROAD,21.0,2200.0,2.0
398076,1.31238857481375,103.88935075341499,THE SUNNY SPRING,LORONG 40 GEYLANG,21.0,2200.0,2.0
NIL,1.3529298858705199,103.831811032634,,SOO CHOW WAY,,,
757713,1.44819535371133,103.819502127155,SUN PLAZA,SEMBAWANG DRIVE,20.0,5000.0,2.0
257792,1.3130249243281398,103.80815943259701,VILLA DELLE ROSE,TAMAN NAKHODA,16.0,4200.0,2.0
429986,1.30381233621836,103.90360416188601,EAST VIEW,BROOKE ROAD,15.0,4400.0,2.0
638310,1.33944625883068,103.691990658739,YUNNAN GARDENS,YUNNAN CRESCENT,17.0,1800.0,2.0
188613,1.29652039381176,103.854938955655,TALIB CENTRE,PURVIS STREET,17.0,1800.0,2.0
309837,1.32297529982031,103.84782266898199,PASTORAL VIEW,BASSEIN ROAD,17.0,1800.0,2.0
259725,1.31828107898795,103.829382520419,THE LEGEND,BUKIT TIMAH ROAD,22.0,2600.0,2.0
789482,1.3793255541148701,103.829117441177,TEACHER'S HOUSING ESTATE,IQBAL AVENUE,18.0,2800.0,2.0
328107,1.3244972134403001,103.846222506253,PINNACLE 16,SHAN ROAD,18.0,2600.0,2.0
NIL,1.30030237661747,103.82115276644801,,CHATSWORTH ROAD,,,
