Project,Street,District,Rent,PricePerSqft
BLEU @ EAST COAST,UPPER EAST COAST ROAD,04,8804,4.0
SAVOY PARK,ENG KONG DRIVE,04,8804,4.0
LEICESTER SUITES,LEICESTER ROAD,15,1600,4.0
EIGHT @ EAST COAST,EAST COAST AVENUE,08,2800,4.0
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,08,4000,4.0
LA SUISSE,SWISS VIEW,08,4000,4.0
SEA VIEW PARK,JALAN SEAVIEW,08,3600,4.0
DORSETT RESIDENCES,NEW BRIDGE ROAD,08,4000,4.0
GLORIA MANSION,PASIR PANJANG ROAD,08,4000,4.0
FREESIA WOODS,SUNSET WAY,04,5600,4.0
LANDED HOUSING DEVELOPMENT,HEMSLEY AVENUE,21,2400,4.0
LUCIDA,SUFFOLK ROAD,21,2400,4.0
ONE FORT,FORT ROAD,09,2400,4.0
THE BELLEFORTE,AH HOOD ROAD,11,3200,4.0
HOLLAND GARDENS,MOONBEAM DRIVE,11,3200,4.0
EUNOSVILLE,SIMS AVENUE,11,3200,4.0
VISTA RESIDENCES,JALAN DATOH,15,2000,4.0
NON-LANDED HOUSING DEVELOPMENT,UPPER PAYA LEBAR ROAD,19,2000,4.0
LANDED HOUSING DEVELOPMENT,POH HUAT ROAD,12,1600,4.0
BARTLEY RIDGE,MOUNT VERNON ROAD,09,2400,4.0
THE FORD @ HOLLAND,FORD AVENUE,09,3200,4.0
LANDED HOUSING DEVELOPMENT,ROSYTH ROAD,12,1600,4.0
SUITES @ KATONG,TANJONG KATONG ROAD,10,5200,4.0
METRO LOFT,LORONG 27 GEYLANG,10,4800,4.0
IVORY HEIGHTS,JURONG EAST STREET 13,10,2800,4.0
ONAN SUITES,ONAN ROAD,10,5200,4.0
LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,10,2800,4.0
GLENTREES,MOUNT SINAI LANE,10,5200,4.0
GRACE PARK,GRACE PARK,10,4400,4.0
URBAN LOFTS,RANGOON ROAD,10,2800,4.0
LANDED HOUSING DEVELOPMENT,KOON SENG ROAD,05,4000,4.0
R MAISON,SOMMERVILLE WALK,05,4000,4.0
DE ROYALE,JALAN RAMA RAMA,05,4000,4.0
MARINE BLUE,MARINE PARADE ROAD,05,2800,4.0
D'MIRA,BOON TECK ROAD,11,2800,4.0
THREE 11,UPPER THOMSON ROAD,09,3200,4.0
ST PATRICK'S RESIDENCES,ST. PATRICK'S ROAD,10,6000,4.0
THE ARTE,JALAN RAJA UDANG,10,12000,4.0
KINGSLEY MANSIONS,BOON TECK ROAD,13,2000,4.0
POH HUAT GARDENS,POH HUAT CRESCENT,13,2000,4.0
DESKER ROAD CONSERVATION AREA,DESKER ROAD,13,2000,4.0
ESPA,CASHEW ROAD,07,3600,4.0
DELFI ORCHARD,ORCHARD ROAD,13,2400,4.0
LANDED HOUSING DEVELOPMENT,LENTOR LOOP,13,2400,4.0
VENTUNO BALMORAL,BALMORAL ROAD,18,2400,4.0
SEASUITES,PASIR PANJANG ROAD,18,2400,4.0
NICON GARDENS,CHOA CHU KANG ROAD,14,4800,4.0
LUCKY PARK,LASIA AVENUE,14,2800,4.0
SHANGHAI ONE,SHANGHAI ROAD,04,8850,4.02
THE SUMMIT,UPPER EAST COAST ROAD,10,11693,4.03
THE HILLFORD,JALAN JURONG KECHIL,10,11693,4.03
NON-LANDED HOUSING DEVELOPMENT,BOON TECK ROAD,04,8500,4.05
THE TAMPINES TRILLIANT,TAMPINES CENTRAL 7,10,3250,4.06
TREASURES @ G20,LORONG 20 GEYLANG,09,10576,4.07
MIRO,LINCOLN ROAD,10,2850,4.07
FENG LAI MANSION,LORONG 30 GEYLANG,04,6933,4.08
FARRER PARK SUITES,OWEN ROAD,04,6933,4.08
KING'S MANSION,AMBER GARDENS,18,2450,4.08
LESHAN GARDENS,LORONG 32 GEYLANG,11,4500,4.09
KENSINGTON SQUARE,JALAN LOKAM,04,8991,4.09
SAPPHIRE 99,SOPHIA ROAD,09,9000,4.09
LIAN VILLAS,EAST COAST AVENUE,21,2050,4.1
LA CRYSTAL,KILLINEY ROAD,14,2050,4.1
RAINBOW MANSION,GRANGE ROAD,02,3700,4.11
GUILIN MANSIONS,LORONG 37 GEYLANG,07,3700,4.11
LIV ON SOPHIA,ADIS ROAD,08,3700,4.11
BUTTERWORTH VIEW,BUTTERWORTH LANE,08,3700,4.11
THE RIVERSIDE PIAZZA,KENG CHEOW STREET,08,3700,4.11
SPAZIO @ KOVAN,UPPER SERANGOON ROAD,10,3700,4.11
THE BECCAGAYLE,LORONG N TELOK KURAU,04,7000,4.12
NON-LANDED HOUSING DEVELOPMENT,LORONG TELOK,04,7000,4.12
GROSVENOR VIEW,LENGKONG EMPAT,10,5350,4.12
UBER 388,UPPER EAST COAST ROAD,09,9500,4.13
DUNEARN GARDENS,DUNEARN ROAD,03,3300,4.13
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,09,3300,4.13
THE LIGHT @ CAIRNHILL,CAIRNHILL CIRCLE,09,3300,4.13
SUNFLOWER REGENCY,LORONG 20 GEYLANG,21,1650,4.13
PRIMEDGE,LORONG 34 GEYLANG,21,1650,4.13
LANDED HOUSING DEVELOPMENT,DUKE'S ROAD,21,1650,4.13
THE MORNINGSIDE,JALAN KUALA,14,1650,4.13
CALARASI,KIM KEAT LANE,11,6600,4.13
KATONG REGENCY,TANJONG KATONG ROAD,12,1650,4.13
BULLION PARK,LENTOR LOOP,04,7027,4.13
OPERA ESTATE,AIDA STREET,04,9084,4.13
HALLMARK RESIDENCES,EWE BOON ROAD,04,9084,4.13
LANDED HOUSING DEVELOPMENT,JALAN ELOK,04,7027,4.13
THE CREST,PRINCE CHARLES CRESCENT,04,7027,4.13
HUA GUAN GARDENS,HUA GUAN CRESCENT,11,3300,4.13
MIMOSA VALE,MIMOSA VALE,05,3300,4.13
NON-LANDED HOUSING DEVELOPMENT,THOMSON ROAD,07,2900,4.14
LONG HUA YUAN,JALAN RIMAU,08,2900,4.14
STURDEE VIEW,STURDEE ROAD NORTH,09,8700,4.14
ONE DEVONSHIRE,DEVONSHIRE ROAD,10,2900,4.14
BOATHOUSE RESIDENCES,UPPER SERANGOON VIEW,10,2900,4.14
REGENCY SUITES,KIM TIAN ROAD,10,2900,4.14
BALMORAL HILLS,BALMORAL PARK,10,2900,4.14
CENTRO RESIDENCES,ANG MO KIO AVENUE 8,10,2900,4.14
FIRST POINT SUITES,LORONG H TELOK KURAU,15,2900,4.14
MONARCHY APARTMENTS,MANDALAY ROAD,14,2900,4.14
LANDED HOUSING DEVELOPMENT,JALAN HAJI ALIAS,14,2900,4.14
THE TENERIFFE,LAUREL WOOD AVENUE,09,4566,4.15
PALM OASIS,LORONG H TELOK KURAU,04,8710,4.15
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,11,2500,4.17
FLORAVILLE,CACTUS ROAD,10,2500,4.17
GRAND REGENCY,JALAN RAJAWALI,10,2500,4.17
ARCHIPELAGO,BEDOK RESERVOIR ROAD,09,10000,4.17
E-SPACE,LORONG K TELOK KURAU,09,2500,4.17
THE MONTAGE,LORONG M TELOK KURAU,09,7500,4.17
NON-LANDED HOUSING DEVELOPMENT,CAVAN ROAD,09,7500,4.17
SEMBAWANG GARDENS ARCADE,JALAN LEGUNDI,11,2500,4.17
GILSTEAD BROOKS,GILSTEAD ROAD,11,2500,4.17
THE TEMBUSU,TAMPINES ROAD,08,2500,4.17
ALEXIS,ALEXANDRA ROAD,08,2500,4.17
LAGUNA GREEN,JALAN HAJIJAH,21,2500,4.17
STUDIO 3,SHANGHAI ROAD,21,2500,4.17
THE GREENWOOD,GREENWOOD AVENUE,09,2500,4.17
THE SIXTH AVENUE RESIDENCES,SIXTH AVENUE,09,2500,4.17
CELESTIA,JOO CHIAT TERRACE,10,7500,4.17
SKYSUITES@ANSON,ENGGOR STREET,13,2500,4.17
HORIZON RESIDENCES,PASIR PANJANG HILL,13,2500,4.17
ECO SANCTUARY,CHESTNUT AVENUE,14,2500,4.17
BALMORAL TOWER,BALMORAL ROAD,14,5000,4.17
KINGS APARTMENTS,LORONG K TELOK KURAU,10,12160,4.19
HOLLAND RESIDENCES,TAMAN WARNA,04,7120,4.19
SUNSHINE PLAZA,PRINSEP LINK,04,5450,4.19
SEMBAWANG SPRINGS ESTATE,JALAN KEMUNING,04,7120,4.19
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,09,8800,4.19
PATERSON RESIDENCE,PATERSON ROAD,11,3350,4.19
LANDED HOUSING DEVELOPMENT,JALAN LIM TAI SEE,09,4200,4.2
CHANCERY COURT,DUNEARN ROAD,21,1680,4.2
STUDIOS@TEMBELING,TEMBELING ROAD,12,2100,4.2
THE TANAMERA,TANAH MERAH KECHIL ROAD,10,2100,4.2
THE INTERLACE,DEPOT ROAD,10,2100,4.2
THE WATERINA,LORONG 40 GEYLANG,14,2100,4.2
LANDED HOUSING DEVELOPMENT,JALAN ARIF,09,2100,4.2
HAUS@SERANGOON GARDEN,SERANGOON GARDEN TERRACE,04,9271,4.21
EAST COAST RESIDENCES,UPPER EAST COAST ROAD,10,2950,4.21
CENTRA SUITES,LORONG 25A GEYLANG,10,19000,4.22
SIMS POINT,LORONG 19 GEYLANG,07,3800,4.22
NON-LANDED HOUSING DEVELOPMENT,BRADDELL ROAD,11,3800,4.22
EAST SIGNATURE,ELLIOT WALK,08,3800,4.22
CHARLTON RESIDENCES,CHARLTON ROAD,03,5500,4.23
HERTFORD COLLECTION,HERTFORD ROAD,10,12300,4.24
DAWN VILLE,BUTTERWORTH LANE,04,7214,4.24
GOLDENHILL VILLAS,GOLDEN WALK,04,7214,4.24
KENTVIEW PARK,PASIR PANJANG HILL,04,7200,4.24
UP@ROBERTSON QUAY,ROBERTSON QUAY,02,3400,4.25
LOFT 33,LORONG 32 GEYLANG,21,1700,4.25
THE MADEIRA,BUKIT BATOK STREET 31,21,1700,4.25
NOUVELLE PARK,POH HUAT ROAD WEST,21,1700,4.25
LANDED HOUSING DEVELOPMENT,JALAN SELAMAT,21,1700,4.25
LAKESIDE APARTMENTS,YUAN CHING ROAD,21,1700,4.25
RESIDENCES @ KILLINEY,KILLINEY ROAD,21,1700,4.25
ONE DUCHESS,DUCHESS ROAD,21,1700,4.25
LANGSTON VILLE,KIM YAM ROAD,21,1700,4.25
LANDED HOUSING DEVELOPMENT,CLEMENTI ROAD,21,1700,4.25
SIMS EDGE,GEYLANG EAST AVENUE 2,09,3400,4.25
VILLA MARINA,JALAN SEMPADAN,12,1700,4.25
ESTA RUBY,GUILLEMARD ROAD,12,1700,4.25
VALLEY MANSION,OXLEY ROAD,12,1700,4.25
GOLDEN HILL ESTATE,MEI HWAN DRIVE,15,1700,4.25
APLETON VIEW,SINARAN DRIVE,15,1700,4.25
CAIRNHILL HEIGHTS,CAIRNHILL RISE,11,3400,4.25
THE BOULEVARD RESIDENCE,CUSCADEN WALK,11,3400,4.25
SARKIES GREEN,SARKIES ROAD,10,3400,4.25
NICOLE GREEN,GUILLEMARD ROAD,10,3400,4.25
NEWTON EDGE,MAKEWAY AVENUE,09,6800,4.25
EAST MEADOWS,TANAH MERAH KECHIL ROAD,09,6800,4.25
GISBORNE LIGHT,EWE BOON ROAD,04,5543,4.26
COSMO,GUILLEMARD CRESCENT,09,4700,4.27
LANDMARK TOWER,CHIN SWEE ROAD,11,4700,4.27
CAVAN SUITES,CAVAN ROAD,11,4700,4.27
FLO RESIDENCE,PUNGGOL FIELD WALK,09,4700,4.27
THE SHELFORD,SHELFORD ROAD,10,9445,4.29
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,10,15000,4.29
LANDED HOUSING DEVELOPMENT,LUCKY HEIGHTS,03,3000,4.29
LANDED HOUSING DEVELOPMENT,HAIG LANE,09,3000,4.29
LANDED HOUSING DEVELOPMENT,TELOK KURAU ROAD,11,6000,4.29
THE SIERRA,MOUNT SINAI DRIVE,04,9000,4.29
HAPPY ESTATE,THOMSON HEIGHTS,04,9009,4.29
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,09,9000,4.29
THE WATERLINE,POH HUAT ROAD WEST,09,9000,4.29
KOVANA,KOVAN ROAD,09,9000,4.29
BISHAN 8,BISHAN STREET 21,10,3000,4.29
DUKES RESIDENCE,DUKE'S ROAD,10,3000,4.29
MUTIARA VIEW,JALAN MUTIARA,10,3000,4.29
21 RICHARDS,RICHARDS AVENUE,09,3000,4.29
CHARISMA VIEW,JALAN JURONG KECHIL,09,9000,4.29
CARABELLE,WEST COAST WAY,09,7304,4.3
THE BAYSHORE,BAYSHORE ROAD,10,2150,4.3
LANDED HOUSING DEVELOPMENT,FERNHILL CLOSE,04,9037,4.3
TOWNHOUSE APARTMENTS,CAVENAGH ROAD,11,4300,4.3
CAIRNHILL ASTORIA,CAIRNHILL RISE,09,2150,4.3
ARDMORE RESIDENCE,ARDMORE PARK,09,2580,4.3
PRIME RESIDENCE,LORONG 22 GEYLANG,10,12500,4.31
PARC CENTROS,PUNGGOL CENTRAL,11,2600,4.33
NON-LANDED HOUSING DEVELOPMENT,LORONG 34 GEYLANG,09,2600,4.33
LANDED HOUSING DEVELOPMENT,LEEDON PARK,08,2600,4.33
KENG SOON BLDG,PRINSEP STREET,09,2600,4.33
CERELIA VISTA,LORONG AH SOO,10,13000,4.33
SPRING GROVE,GRANGE ROAD,10,12627,4.35
LANDED HOUSING DEVELOPMENT,JALAN TARI PIRING,09,7397,4.35
KUM HING COURT,TOMLINSON ROAD,09,4350,4.35
WILMER HOUSE,ST. THOMAS WALK,09,4787,4.35
LANDED HOUSING DEVELOPMENT,LORONG BIAWAK,10,10000,4.35
OASIS GARDEN,JALAN BUNGA RAMPAI,10,4800,4.36
RIVIERA RESIDENCES,RIVIERA DRIVE,10,12700,4.38
ZENITH,ZION ROAD,09,3500,4.38
ALLSWORTH PARK,HOLLAND ROAD,03,3500,4.38
WILKIE STUDIO,WILKIE ROAD,03,5700,4.38
THOMSON VIEW CONDOMINIUM,BRIGHT HILL DRIVE,03,3500,4.38
VUE 8 RESIDENCE,PASIR RIS HEIGHTS,21,1750,4.38
EDENZ LOFT,LORONG 24 GEYLANG,11,7000,4.38
LANDED HOUSING DEVELOPMENT,JALAN BANGAU,09,5700,4.38
HERON BAY,UPPER SERANGOON VIEW,09,3500,4.38
SERANGOON PARK,JALAN GIRANG,09,3500,4.38
CAVENAGH GARDENS,CAVENAGH ROAD,19,1750,4.38
LANDED HOUSING DEVELOPMENT,SIANG KUANG AVENUE,12,1750,4.38
TELOK BLANGAH HOUSE,TELOK BLANGAH ROAD,12,1750,4.38
WOODSVILLE 28,WOODSVILLE CLOSE,08,3500,4.38
THE HORIZON,HOLT ROAD,11,3500,4.38
THE BENCOOLEN,BENCOOLEN STREET,11,3500,4.38
THE MEDLEY,LORONG G TELOK KURAU,10,3500,4.38
NON-LANDED HOUSING DEVELOPMENT,STURDEE ROAD,10,3500,4.38
LANDED HOUSING DEVELOPMENT,LOWLAND ROAD,09,7000,4.38
MERGUI MANSIONS,MERGUI ROAD,09,3500,4.38
CAMBRIDGE VILLAGE,CAMBRIDGE ROAD,10,2200,4.4
CENTRA HEIGHTS,SIMS AVENUE,09,4400,4.4
LANDED HOUSING DEVELOPMENT,JOO CHIAT TERRACE,12,2200,4.4
THE BEACON EDGE,TEMBELING ROAD,12,2200,4.4
ST FRANCIS COURT,ST. FRANCIS ROAD,10,2200,4.4
BEAVERTON COURT,MOUNT SINAI RISE,10,2200,4.4
CLAREMONT,KILLINEY ROAD,10,2200,4.4
THE NAUTICAL,JALAN SENDUDOK,10,2200,4.4
NON-LANDED HOUSING DEVELOPMENT,KOON SENG ROAD,10,2200,4.4
THE TENNERY,WOODLANDS ROAD,11,2200,4.4
NON-LANDED HOUSING DEVELOPMENT,ROBIN DRIVE,12,2200,4.4
JK BUILDING,JALAN JURONG KECHIL,07,2200,4.4
SHEBA LODGE,CARPMAEL ROAD,18,2200,4.4
MCMAHON PARK,HOLLAND ROAD,09,4850,4.41
SIEW LIM PARK,BEDOK LANE,04,7494,4.41
AQUENE,LORONG BANDANG,09,5300,4.42
MONTVIEW,MOUNT SINAI DRIVE,09,2650,4.42
MIAPLACE,ARTHUR ROAD,09,7537,4.43
NEWEST,WEST COAST DRIVE,09,6200,4.43
JERVOIS REGENCY,JERVOIS ROAD,08,3100,4.43
TELOK KURAU LODGE,LORONG H TELOK KURAU,09,9300,4.43
GUILLEMARD EDGE,LORONG 30 GEYLANG,10,3100,4.43
LANDED HOUSING DEVELOPMENT,PONGGOL TWENTY-FOURTH AVENUE,02,3550,4.44
LILAC PARK,LILAC DRIVE,07,4000,4.44
RIS GRANDEUR,ELIAS ROAD,09,7100,4.44
LANDED HOUSING DEVELOPMENT,CARLISLE ROAD,10,7100,4.44
LANDED HOUSING DEVELOPMENT,UPPER EAST COAST ROAD,10,4000,4.44
SIN MING PLAZA,SIN MING ROAD,09,4900,4.45
ROCHELLE AT NEWTON,KENG LEE ROAD,09,7584,4.46
MOUNT SOPHIA SUITES,SOPHIA ROAD,09,6700,4.47
CABANA,SUNRISE TERRACE,09,2700,4.5
POINT LOMA,SHELFORD ROAD,09,2700,4.5
BIRCHWOOD MANSIONS,JALAN AMPAS,03,3600,4.5
PARC IMPERIAL,PASIR PANJANG ROAD,10,2250,4.5
NON-LANDED HOUSING DEVELOPMENT,JALAN RIANG,09,4500,4.5
ELIZABETH TOWER,MOUNT ELIZABETH,11,9000,4.5
TAI PENG GARDENS,UPPER SERANGOON ROAD,21,1800,4.5
WEMBLY RESIDENCES,YIO CHU KANG ROAD,21,1800,4.5
SOUTHAVEN I,HINDHEDE WALK,20,2700,4.5
HERTFORD MANSION,BRISTOL ROAD,09,3600,4.5
TIARA,KIM SENG WALK,10,7200,4.5
BIN TONG PARK,BIN TONG PARK,19,1800,4.5
BASSEIN COURT,BASSEIN ROAD,12,1800,4.5
CHARMING GARDEN,KING'S ROAD,12,1800,4.5
GOH & GOH BUILDING,UPPER BUKIT TIMAH ROAD,12,1800,4.5
STUDIO8,JALAN AYER,12,1800,4.5
PEACE CENTRE / MANSIONS,SOPHIA ROAD,12,1800,4.5
THE VERMONT ON CAIRNHILL,CAIRNHILL RISE,12,1800,4.5
SUN ROSIER,HOW SUN DRIVE,12,1800,4.5
CITYLIFE@TAMPINES,TAMPINES CENTRAL 7,12,1800,4.5
RIDGEWOOD,MOUNT SINAI DRIVE,08,3600,4.5
PICARDY GARDENS,JALAN PARI BURONG,08,3600,4.5
TUDOR VIEW,TUDOR CLOSE,08,2700,4.5
THE COTERIE @ HOLLAND,HOLLAND ROAD,09,7200,4.5
LEEDON 2,LEEDON ROAD,10,2700,4.5
NEWTON IMPERIAL,NEWTON ROAD,10,6300,4.5
CHIANG'S COURT,UPPER EAST COAST ROAD,09,2700,4.5
LANDED HOUSING DEVELOPMENT,THIAM SIEW AVENUE,09,3600,4.5
SIGLAP V,FIRST STREET,11,2700,4.5
URBAN RESORT CONDOMINIUM,CAIRNHILL ROAD,14,2250,4.5
LANDED HOUSING DEVELOPMENT,SOUTH BUONA VISTA ROAD,09,4956,4.51
AIRVIEW PARK,THAM SOONG AVENUE,09,12200,4.52
GARDEN VIEW ESTATE,CONWAY CIRCLE,20,2730,4.55
ONE AMBER,AMBER GARDENS,09,5000,4.55
KINDOL GARDENS,JALAN MALU-MALU,09,5000,4.55
GLASGOW RESIDENCE,GLASGOW ROAD,09,7771,4.57
HOLLAND VILLAGE,LORONG LIPUT,09,7771,4.57
LANDED HOUSING DEVELOPMENT,KILLINEY ROAD,09,7771,4.57
HIGHGATE,HIGHGATE CRESCENT,03,3200,4.57
GOLDEN HEIGHTS,SERANGOON AVENUE 3,11,3200,4.57
THE BLOSSOMVALE,DUNEARN ROAD,09,3200,4.57
HOA NAM BUILDING,FOCH ROAD,09,3200,4.57
NON-LANDED HOUSING DEVELOPMENT,UPPER EAST COAST ROAD,08,3200,4.57
LANDED HOUSING DEVELOPMENT,DUCHESS AVENUE,08,3200,4.57
THE PATERSON EDGE,PATERSON ROAD,08,3200,4.57
HAWAII TOWER,MEYER ROAD,08,3200,4.57
PAYA LEBAR RESIDENCES,PAYA LEBAR ROAD,14,3200,4.57
LANDED HOUSING DEVELOPMENT,LORONG H TELOK KURAU,09,2750,4.58
LANDED HOUSING DEVELOPMENT,ONAN ROAD,09,2750,4.58
TROPICS @ HAIGSVILLE,HAIGSVILLE DRIVE,02,2300,4.6
NON-LANDED HOUSING DEVELOPMENT,JALAN MASJID,10,2300,4.6
ONE BALMORAL,BALMORAL ROAD,10,2300,4.6
CRADELS,LORONG LIMAU,10,2300,4.6
LANDED HOUSING DEVELOPMENT,JOO CHIAT LANE,11,2300,4.6
AMBERGLADES,AMBER GARDENS,09,2300,4.6
LAKESIDE TOWER,YUAN CHING ROAD,11,2300,4.6
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,11,2300,4.6
GEYLANG CONSERVATION AREA,LORONG 24A GEYLANG,14,2300,4.6
PRIVE,PUNGGOL FIELD,14,2300,4.6
PALMWOODS,UPPER CHANGI ROAD,09,9675,4.61
LANDED HOUSING DEVELOPMENT,GARLICK AVENUE,10,6000,4.62
SEMBAWANG SQUARE ESTATE,SEMBAWANG ROAD,21,1850,4.63
EAST MEWS,MOUNTBATTEN ROAD,09,3700,4.63
RIO VISTA,UPPER SERANGOON VIEW,09,7400,4.63
LANDED HOUSING DEVELOPMENT,JALAN ULU SIGLAP,09,7400,4.63
LANDED HOUSING DEVELOPMENT,NAMLY DRIVE,09,3700,4.63
THE VISION,WEST COAST CRESCENT,04,9738,4.64
D'LEEDON,LEEDON HEIGHTS,09,2800,4.67
ESPADA,ST. THOMAS WALK,09,2800,4.67
WILKINSON 8,WILKINSON ROAD,09,4674,4.67
HAIG 162,HAIG ROAD,08,2800,4.67
THE SERENNO,HAIG ROAD,08,2800,4.67
NADIA MANSIONS,AH HOOD ROAD,08,2800,4.67
GALLOP GARDENS,TYERSALL ROAD,08,2800,4.67
THE CALROSE,YIO CHU KANG ROAD,08,2800,4.67
NON-LANDED HOUSING DEVELOPMENT,KIM KEAT ROAD,10,14000,4.67
RESIDENCES AT EMERALD HILL,EMERALD HILL ROAD,09,2800,4.67
MEYER PARK,MEYER ROAD,02,2800,4.67
NEWTON 18,NEWTON ROAD,02,2800,4.67
LANDED HOUSING DEVELOPMENT,CLUNY PARK ROAD,10,13562,4.68
AMPAS APARTMENT,JALAN AMPAS,09,4700,4.7
NON-LANDED HOUSING DEVELOPMENT,LORONG 31 GEYLANG,14,2350,4.7
FORTUNE JADE,DUNMAN ROAD,09,3300,4.71
HUME PARK I,HUME AVENUE,08,3300,4.71
GOODLAND BUILDING,ROBERTS LANE,09,8000,4.71
SUITES @ SIMS,SIMS AVENUE,09,8000,4.71
YEW MEI GREEN,CHOA CHU KANG NORTH 6,09,3300,4.71
FIDVI COURT,JOO CHIAT TERRACE,09,4750,4.75
FORTE SUITES,MERGUI ROAD,21,1900,4.75
THOMSON GRAND,SIN MING WALK,09,3800,4.75
THE GRANGE,GRANGE GARDEN,09,2850,4.75
NOTTINGHILL SUITES,TOH TUCK ROAD,10,3800,4.75
THE IMPERIAL,JALAN RUMBIA,09,5750,4.79
LANDED HOUSING DEVELOPMENT,GENTLE ROAD,09,4800,4.8
RIO CASA,HOUGANG AVENUE 7,12,2400,4.8
ESTELLA GARDENS,FLORA ROAD,11,2400,4.8
HERITAGE VIEW,DOVER RISE,09,2400,4.8
EAST GROVE,EAST COAST ROAD,11,2400,4.8
CHANGI HEIGHTS,JALAN SINAR BINTANG,11,2400,4.8
GROVE RESIDENCE,GROVE DRIVE,11,2400,4.8
SANT RITZ,PHENG GECK AVENUE,09,5300,4.82
VIENTO,LORONG 30 GEYLANG,02,2900,4.83
AIRSTREAM,ST. MICHAEL'S ROAD,09,2900,4.83
SPRINGDALE CONDOMINIUM,HINDHEDE WALK,08,2900,4.83
NON-LANDED HOUSING DEVELOPMENT,JOO CHIAT PLACE,08,2900,4.83
MIN YUAN,WATERLOO STREET,09,2900,4.83
ESPIRA RESIDENCE,LORONG K TELOK KURAU,02,2900,4.83
NOUVEL 18,ANDERSON ROAD,02,2900,4.83
CUBIK,LORONG K TELOK KURAU,08,3400,4.86
# 1 SUITES,LORONG 20 GEYLANG,09,3400,4.86
TANGLIN RESIDENCES,ST. MARTIN'S DRIVE,09,3400,4.86
BUONA VISTA GARDENS,ZEHNDER ROAD,09,12190,4.88
ZEDGE,AKYAB ROAD,12,1950,4.88
TIONG BAHRU ESTATE,ENG HOON STREET,09,4400,4.89
WATERFRONT KEY,BEDOK RESERVOIR ROAD,11,2450,4.9
NON-LANDED HOUSING DEVELOPMENT,HOE CHIANG ROAD,09,4902,4.9
FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,09,5900,4.92
LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,08,2950,4.92
100 AM,TRAS STREET,09,7900,4.94
TOH TUCK GARDEN,TOH TUCK PLACE,09,7900,4.94
THE GLYNDEBOURNE,TREVOSE CRESCENT,10,14342,4.95
KAP RESIDENCES,KING ALBERT PARK,10,14496,5.0
SPRINGLEAF TOWER,ANSON ROAD,02,3000,5.0
VICTORY HEIGHTS,KIM KEAT ROAD,02,2500,5.0
SUNSTONE RESIDENCES,JALAN DAUD,09,11500,5.0
THE SCALA,SERANGOON AVENUE 3,10,2500,5.0
VERSILIA ON HAIG,IPOH LANE,10,2000,5.0
LANDED HOUSING DEVELOPMENT,LORONG J TELOK KURAU,10,2500,5.0
NON-LANDED HOUSING DEVELOPMENT,EAST SUSSEX LANE,10,2000,5.0
CASA MEYFORT,MEYER ROAD,09,5000,5.0
TREASURES@G6,LORONG 6 GEYLANG,09,4000,5.0
MANDALAY MANSION,MINBU ROAD,10,2000,5.0
THE MONTANA,JALAN MUTIARA,09,2500,5.0
GILSTEAD COURT,GILSTEAD ROAD,11,5500,5.0
CAIRNHILL RESIDENCES,CAIRNHILL CIRCLE,09,5500,5.0
SIMS DORADO,LORONG 39 GEYLANG,09,5500,5.0
SANNY PARK,MERRYN ROAD,09,5500,5.0
THE PRINCETON,EWE BOON ROAD,12,2000,5.0
PARVIS,HOLLAND HILL,12,2000,5.0
LANDED HOUSING DEVELOPMENT,TREVOSE CRESCENT,04,11000,5.0
PEARL BANK APARTMENT,PEARL BANK,04,6500,5.0
LANDED HOUSING DEVELOPMENT,GLADIOLA DRIVE,08,3000,5.0
NON-LANDED HOUSING DEVELOPMENT,LORONG 26 GEYLANG,08,3000,5.0
BOTANIKA,HOLLAND ROAD,08,3000,5.0
HILLS APARTMENT,GOLDHILL AVENUE,09,8000,5.0
TOMLINSON HEIGHTS,TOMLINSON ROAD,09,8000,5.0
NON-LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,09,5500,5.0
AVILA GARDENS,FLORA ROAD,09,3000,5.0
DOUBLE BAY RESIDENCES,SIMEI STREET 4,12,2000,5.0
LANDED HOUSING DEVELOPMENT,BLANDFORD DRIVE,09,2500,5.0
GOLDEN MILE COMPLEX,BEACH ROAD,10,4000,5.0
HARVEST MANSIONS,HAVELOCK ROAD,09,4000,5.0
THE LEVELZ,FARRER ROAD,09,2500,5.0
MOONSTONE VIEW,MOONSTONE LANE,09,2500,5.0
LANDED HOUSING DEVELOPMENT,PADANG CHANCERY,09,3000,5.0
LANDED HOUSING DEVELOPMENT,KUO CHUAN AVENUE,11,2500,5.0
7 ON CHAPEL,CHAPEL ROAD,10,6000,5.0
NON-LANDED HOUSING DEVELOPMENT,GILSTEAD ROAD,12,1500,5.0
MARTIN EDGE,MARTIN ROAD,18,2500,5.0
SEASONS VIEW,PEMIMPIN DRIVE,10,2550,5.1
