Project,Street,District,Rent,PricePerSqft
BUTTERWORTH 8,BUTTERWORTH LANE,11,3700,2.06
PALM GARDENS,HONG SAN WALK,09,3300,2.06
JADE RESIDENCES,LEW LIAN VALE,10,2900,2.07
CASA ESPANIA,GAMBIR WALK,15,3100,2.07
PANDAN VALLEY,PANDAN VALLEY,15,2900,2.07
LA BRISA,LORONG 28 GEYLANG,27,2900,2.07
LAKEVILLE,JURONG LAKE LINK,10,6200,2.07
1 KING ALBERT PARK,KING ALBERT PARK,18,3100,2.07
NASSIMVILLE,NASSIM ROAD,14,2500,2.08
MILFORD VILLAS,LORONG SELANGAT,22,2700,2.08
NON-LANDED HOUSING DEVELOPMENT,LORONG 8 GEYLANG,22,2700,2.08
SUITES @ EASTCOAST,UPPER EAST COAST ROAD,16,3125,2.08
EURO-ASIA PARK,WOODLEIGH CLOSE,15,2500,2.08
THE VENUE RESIDENCES,TAI THONG CRESCENT,16,2700,2.08
BELLERIVE,KENG CHIN ROAD,10,6250,2.08
NON-LANDED HOUSING DEVELOPMENT,CLUB STREET,18,2700,2.08
ST PATRICK'S LOFT,ST. PATRICK'S ROAD,18,2700,2.08
THE GLACIER,JOO CHIAT PLACE,18,2500,2.08
WING ON LIFE GARDEN,BUKIT TIMAH ROAD,23,2500,2.08
THE AXIS,MANDALAY ROAD,23,2500,2.08
ARDMORE PARK,ARDMORE PARK,23,2500,2.08
MERA SPRINGS,CARLISLE ROAD,23,2500,2.08
REGIS MANSIONS,JALAN RAJAWALI,19,2500,2.08
SANCTUARY GREEN,TANJONG RHU ROAD,16,2700,2.08
NON-LANDED HOUSING DEVELOPMENT,RIVER VALLEY ROAD,14,2500,2.08
SILVERSEA,MARINE PARADE ROAD,18,2700,2.08
THE CALLISTA,MAR THOMA ROAD,21,2300,2.09
ORCHARD SCOTTS,ANTHONY ROAD,21,2300,2.09
LANDED HOUSING DEVELOPMENT,NEIL ROAD,21,2300,2.09
ESTIQUE,ROSE LANE,21,2300,2.09
THE SERENNIA,PULASAN ROAD,16,2300,2.09
FULCRUM,FORT ROAD,15,4600,2.09
SERENEVIEW MANSIONS,LORONG SELANGAT,17,2300,2.09
THE HILLIER,HILLVIEW RISE,13,7300,2.09
EUNOS GREEN,SIMS AVENUE EAST,13,7300,2.09
LANDED HOUSING DEVELOPMENT,BINJAI PARK,16,2300,2.09
ASTON MANSIONS,LORONG 42 GEYLANG,23,2300,2.09
MORIMASA GARDENS,GILSTEAD ROAD,23,2300,2.09
NON-LANDED HOUSING DEVELOPMENT,WHAMPOA DRIVE,23,2300,2.09
ARTHUR 118,ARTHUR ROAD,23,2300,2.09
THE BALMORAL,BALMORAL PARK,19,2300,2.09
SERANGOON GARDEN PARK,JALAN PACHELI,19,2300,2.09
NEWTON LODGE,NEWTON ROAD,19,2300,2.09
LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,09,3350,2.09
SCOTTS HIGHPARK,SCOTTS ROAD,17,2100,2.1
D'MANOR,TANAH MERAH KECHIL AVENUE,21,2100,2.1
BELGRAVIA PARK,SELETAR TERRACE,23,2100,2.1
SAVANNAH CONDOPARK,SIMEI RISE,10,3800,2.11
PINEWOOD GARDENS,BALMORAL PARK,22,2950,2.11
BISHAN LOFT,BISHAN STREET 11,17,1900,2.11
THE LUSH,DUKU ROAD,15,3600,2.12
833 M B RESIDENCES,MOUNTBATTEN ROAD,08,2750,2.12
PROXIMO,ROBIN ROAD,10,5500,2.12
LANDED HOUSING DEVELOPMENT,JALAN BUNGA RAMPAI,11,5300,2.12
DUNEARN ESTATE,DALKEITH ROAD,21,3600,2.12
SENG HUA GARDENS,LORONG K TELOK KURAU,18,2750,2.12
WATERFALL GARDENS,FARRER ROAD,07,3600,2.12
RIVERTREES RESIDENCES,FERNVALE CLOSE,19,3400,2.13
THE COSMOPOLITAN,KIM SENG ROAD,19,3400,2.13
BAODE BUILDING,LORONG 35 GEYLANG,14,2550,2.13
WESTPOINT CONDOMINIUM,PEPYS ROAD,19,2550,2.13
MAYFLOWER VILLE,MAYFLOWER AVENUE,12,1700,2.13
NON-LANDED HOUSING DEVELOPMENT,OUTRAM ROAD,21,3200,2.13
SIGNATURE PARK,TOH TUCK ROAD,15,4700,2.14
LANDED HOUSING DEVELOPMENT,CORONATION ROAD,21,3000,2.14
JEWEL @ BUANGKOK,COMPASSVALE BOW,10,3000,2.14
BENCOOLEN HOUSE,BENCOOLEN STREET,15,3000,2.14
LE REVE,KAMPONG EUNOS,15,4700,2.14
TEMBELING RESIDENCE,TEMBELING ROAD,19,3000,2.14
